[('Обычный','Синдикат','Fire_Player','Чудовища','Поражение','1:2')
('Обычный','Синдикат','_Yoozek_','Синдикат','Победа','2:0')
('Обычный','Синдикат','Nagaika','Нильфгаард','Поражение','1:2')]
Обычный','Синдикат','ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ','Королевства Севера','Победа','2:1
Обычный','Синдикат','Fire_Player','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','TsilkeEugen','Чудовища','Победа','2:0
Обычный','Нильфгаард','YUGi_GWENT','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','Anna-Katharina','Скеллиге','Победа','2:1
Обычный','Нильфгаард','RBRSP','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','cymera2','Чудовища','Поражение','1:2
Обычный','Нильфгаард','MenEstrel8900','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','RBRSP','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','Emiel_Reggis','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','Senv66','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Sparta_lives','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','Zloykaban','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','ZIKFRIDE','Чудовища','Победа','2:0
Обычный','Нильфгаард','mariposaja','Нильфгаард','Поражение','0:2
Арена','Арена','Pottawatomi','Арена','Поражение','0:2
Арена','Арена','Dessving','Арена','Поражение','1:2
Арена','Арена','recepates','Арена','Поражение','1:2
Обычный','Нильфгаард','Schirru98','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','ISO_Dark_Master','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','TANGRA_iYi','Синдикат','Поражение','1:2
Обычный','Нильфгаард','Mena84','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','GorillaEl','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','betraymechino','Чудовища','Поражение','1:2
Обычный','Нильфгаард','Payus','Скеллиге','Поражение','0:2
Обычный','Нильфгаард','-wapaKalypse-','Синдикат','Поражение','0:2
Обычный','Скеллиге','skilletfun','Нильфгаард','Победа','2:1
Обычный','Скеллиге','6Quijote','Синдикат','Поражение','1:2
Обычный','Скеллиге','TerryWoodini','Синдикат','Поражение','1:2
Обычный','Скеллиге','Bachus0','Синдикат','Поражение','0:2
Обычный','Скеллиге','Sparta_lives','Скоя’таэли','Поражение','0:2
Обычный','Скеллиге','fts_GrayShadow','Синдикат','Поражение','1:2
Обычный','Скеллиге','Ulli1981','Скоя’таэли','Поражение','1:2
Обычный','Скеллиге','_ANAK_','Нильфгаард','Победа','2:1
Обычный','Скеллиге','Maximilian_I','Синдикат','Поражение','1:2
Обычный','Скеллиге','LionCub.','Скеллиге','Победа','2:0
Обычный','Скеллиге','cymera2','Чудовища','Поражение','0:2
Обычный','Скеллиге','M3SKAL1N3','Чудовища','Поражение','0:2
Обычный','Скеллиге','MakaveliKelly10','Скоя’таэли','Поражение','0:2
Обычный','Скеллиге','Sparta_lives','Скоя’таэли','Поражение','1:2
Обычный','Скеллиге','lhs1996','Скоя’таэли','Поражение','1:2
Обычный','Скеллиге','gogixi','Скоя’таэли','Поражение','1:2
Обычный','Скоя’таэли','USMC__0313','Скоя’таэли','Победа','2:0
Обычный','Скоя’таэли','bar_in','Скоя’таэли','Победа','2:1
Обычный','Скоя’таэли','suiiuris','Скеллиге','Победа','2:1
Обычный','Скоя’таэли','Nagaika','Нильфгаард','Победа','2:0
Обычный','Скоя’таэли','wichu1','Королевства Севера','Победа','2:1
Обычный','Скоя’таэли','bundesliga100','Скоя’таэли','Победа','2:1
Обычный','Скоя’таэли','Sofel','Скоя’таэли','Поражение','0:2
Обычный','Скоя’таэли','VegaThanatos','Скеллиге','Победа','2:0
Обычный','Скоя’таэли','Fire_Player','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','0racolo','Чудовища','Победа','2:1
Обычный','Синдикат','SinnerDead','Нильфгаард','Победа','2:1
Обычный','Синдикат','wichu1','Королевства Севера','Поражение','0:2
Арена','Арена','Heghon','Арена','Поражение','1:2
Арена','Арена','VSEXTA','Арена','Поражение','1:2
Арена','Арена','maty12','Арена','Победа','2:1
Арена','Арена','Rhett1144','Арена','Ничья','2:2
Арена','Арена','Fasteat','Арена','Победа','2:1
Обычный','Скоя’таэли','Maximilian_I','Синдикат','Поражение','1:2
Обычный','Скоя’таэли','Vehio','Чудовища','Победа','2:0
Обычный','Скоя’таэли','Phosya','Чудовища','Победа','2:0
Обычный','Скоя’таэли','Grend21','Нильфгаард','Поражение','1:2
Обычный','Скоя’таэли','abbas-HDR','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Kareres','Нильфгаард','Победа','2:1
Обычный','Синдикат','Atoinarc','Скоя’таэли','Победа','2:0
Обычный','Синдикат','raulcronos','Скоя’таэли','Победа','2:0
Обычный','Синдикат','ALLANJSR','Скеллиге','Победа','2:1
Обычный','Синдикат','olacrez','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Gongitsune','Скеллиге','Поражение','1:2
Обычный','Синдикат','Mexico99699','Нильфгаард','Победа','2:0
Обычный','Синдикат','FressKo','Скоя’таэли','Победа','2:1
Обычный','Синдикат','I_NAGIBATOR_I','Скеллиге','Поражение','1:2
Обычный','Синдикат','SALLADOREC','Нильфгаард','Поражение','0:2
Обычный','Синдикат','metroid3802','Нильфгаард','Победа','2:1
Обычный','Синдикат','Ends420','Нильфгаард','Победа','2:0
Обычный','Синдикат','Arkhitektor002','Скеллиге','Победа','2:1
Обычный','Синдикат','icho74','Королевства Севера','Победа','2:0
Обычный','Синдикат','jurek56lol','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','Polikarp15','Нильфгаард','Победа','2:1
Обычный','Синдикат','piotrluczak71','Нильфгаард','Победа','2:0
Обычный','Синдикат','jaws52','Чудовища','Победа','2:0
Обычный','Синдикат','Anny._.','Нильфгаард','Победа','2:0
Обычный','Синдикат','nyctorious','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','Aarthia','Чудовища','Победа','2:0
Обычный','Синдикат','reckleznitch','Нильфгаард','Победа','2:0
Обычный','Синдикат','birmys73','Нильфгаард','Победа','2:1
Обычный','Синдикат','BladeMast_e_R','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','aymanhero','Синдикат','Поражение','1:2
Обычный','Синдикат','Alkoloid','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','birmys73','Нильфгаард','Победа','2:1
Обычный','Синдикат','deadendguy','Нильфгаард','Победа','2:0
Обычный','Синдикат','batter22','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Muchaches','Скоя’таэли','Победа','2:0
Обычный','Синдикат','MenEstrel8900','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','AliRF77','Нильфгаард','Победа','2:1
Обычный','Синдикат','piotrluczak71','Нильфгаард','Победа','2:1
Обычный','Синдикат','Bemesis','Нильфгаард','Победа','2:0
Обычный','Синдикат','Grend21','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Denleymak','Чудовища','Победа','2:1
Обычный','Синдикат','plexistar','Нильфгаард','Победа','2:1
Обычный','Синдикат','chavesevahc','Чудовища','Победа','2:1
Обычный','Синдикат','Weronika001','Чудовища','Победа','2:1
Обычный','Синдикат','Kot-Bayun','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','yoss40i4','Нильфгаард','Поражение','0:2
Обычный','Синдикат','TooMateOh','Нильфгаард','Поражение','0:2
Обычный','Синдикат','OwNeDUp','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Kamil_Zajchowski','Скеллиге','Победа','2:1
Обычный','Синдикат','heinrich223x','Скеллиге','Победа','2:0
Обычный','Синдикат','PARASKAN','Нильфгаард','Победа','2:0
Обычный','Синдикат','Misth78','Синдикат','Победа','2:1
Обычный','Синдикат','DanielDorn','Нильфгаард','Победа','2:1
Обычный','Синдикат','KIWITOMMY','Нильфгаард','Победа','2:0
Обычный','Синдикат','Mediosegundo','Чудовища','Победа','2:0
Обычный','Синдикат','bar_in','Чудовища','Победа','2:1
Обычный','Синдикат','----Nemesis----','Нильфгаард','Победа','2:0
Обычный','Синдикат','Xythony','Нильфгаард','Победа','2:0
Обычный','Синдикат','hardmadman666','Королевства Севера','Победа','2:1
Обычный','Скоя’таэли','JonnyKnow','Нильфгаард','Поражение','1:2
Обычный','Скоя’таэли','koyl02','Нильфгаард','Поражение','1:2
Обычный','Чудовища','ebnzrgzr','Скеллиге','Победа','2:1
Обычный','Чудовища','damkeuu','Нильфгаард','Поражение','1:2
Обычный','Чудовища','KaidzenMonada','Нильфгаард','Победа','2:0
Обычный','Чудовища','Ivan288','Нильфгаард','Победа','2:1
Обычный','Чудовища','MrGolyat','Синдикат','Поражение','1:2
Обычный','Синдикат','Akirapl','Нильфгаард','Победа','2:1
Обычный','Синдикат','dogberry','Чудовища','Победа','2:0
Обычный','Синдикат','Koch__AUT','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Whitenoise81','Синдикат','Поражение','1:2
Обычный','Синдикат','NAOXCX','Нильфгаард','Победа','2:0
Обычный','Синдикат','thersthol','Чудовища','Победа','2:1
Обычный','Синдикат','RMask13','Чудовища','Победа','2:1
Обычный','Синдикат','ISO_Dark_Master','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','Badger272','Королевства Севера','Победа','2:1
Обычный','Синдикат','Sofel','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Vega_One','Нильфгаард','Поражение','0:2
Обычный','Синдикат','jackhammer0084','Синдикат','Победа','2:1
Обычный','Синдикат','bar_in','Скеллиге','Поражение','1:2
Обычный','Синдикат','Kentoky84','Скоя’таэли','Ничья','2:2
Обычный','Синдикат','Marten8198','Чудовища','Победа','2:0
Обычный','Синдикат','Maximilian_I','Синдикат','Поражение','1:2
Обычный','Синдикат','plotnik28','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Ky_Sergei','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','Evezeroone','Чудовища','Победа','2:0
Обычный','Синдикат','NAJKONX','Нильфгаард','Поражение','0:2
Обычный','Синдикат','Parrow','Нильфгаард','Поражение','0:2
Обычный','Синдикат','地球超人_','Нильфгаард','Победа','2:0
Обычный','Синдикат','Deenech_SG','Синдикат','Поражение','1:2
Обычный','Синдикат','RoGord','Нильфгаард','Победа','2:1
Обычный','Синдикат','monohrom','Чудовища','Победа','2:1
Обычный','Синдикат','Vayce777','Королевства Севера','Победа','2:1
Обычный','Синдикат','Lineblaze','Чудовища','Победа','2:0
Обычный','Синдикат','Quan4','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Maximilian_I','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Quan4','Скоя’таэли','Победа','2:0
Обычный','Синдикат','Grend21','Нильфгаард','Поражение','1:2
Обычный','Синдикат','slainee','Скоя’таэли','Победа','2:1
Обычный','Синдикат','ortokot','Скеллиге','Победа','2:0
Обычный','Синдикат','Wimousesack','Чудовища','Победа','2:0
Обычный','Синдикат','yugame','Нильфгаард','Победа','2:0
Обычный','Синдикат','Lorenzonzdapper','Синдикат','Победа','2:0
Обычный','Синдикат','Ends420','Нильфгаард','Победа','2:0
Обычный','Синдикат','pdp210','Нильфгаард','Победа','2:0
Обычный','Синдикат','mstria','Скеллиге','Победа','2:1
Обычный','Синдикат','LVISV','Нильфгаард','Поражение','1:2
Обычный','Синдикат','selderslaghspj','Нильфгаард','Победа','2:0
Обычный','Синдикат','Bartff','Нильфгаард','Поражение','0:2
Обычный','Синдикат','sc326208','Нильфгаард','Победа','2:0
Обычный','Синдикат','Quan4','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','Bartff','Нильфгаард','Поражение','1:2
Обычный','Синдикат','ortokot','Скеллиге','Победа','2:0
Обычный','Синдикат','TANGRA_iYi','Синдикат','Поражение','1:2
Обычный','Синдикат','Vlad2107','Нильфгаард','Победа','2:0
Обычный','Синдикат','IdeaFiks','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','MenEstrel8900','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Sofel','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','Foma_woin','Нильфгаард','Победа','2:1
Обычный','Синдикат','mariposaja','Скоя’таэли','Победа','2:1
Обычный','Синдикат','dudezhillen','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Sparta_lives','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','AlexPurist','Королевства Севера','Победа','2:0
Обычный','Синдикат','3eKTOP','Чудовища','Победа','2:1
Обычный','Скоя’таэли','TherealZil','Нильфгаард','Победа','2:0
Обычный','Скоя’таэли','Thaninha','Скоя’таэли','Поражение','1:2
Обычный','Скоя’таэли','JasperSmiles','Скоя’таэли','Поражение','1:2
Обычный','Скоя’таэли','X-key','Скоя’таэли','Поражение','1:2
Обычный','Скоя’таэли','lewy710','Королевства Севера','Победа','2:1
Обычный','Скоя’таэли','cymera2','Чудовища','Победа','2:1
Обычный','Синдикат','USMC__0313','Нильфгаард','Победа','2:1
Обычный','Синдикат','Shogunalke','Синдикат','Победа','2:1
Обычный','Синдикат','6Quijote','Скоя’таэли','Победа','2:0
Обычный','Синдикат','Krzxyz','Чудовища','Победа','2:0
Обычный','Синдикат','chriswitcher','Синдикат','Победа','2:0
Обычный','Синдикат','Sofel','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','Nagaika','Нильфгаард','Победа','2:0
Обычный','Синдикат','vertus2005','Чудовища','Победа','2:0
Обычный','Синдикат','Petr05','Синдикат','Победа','2:1
Обычный','Синдикат','Petrusgiovanni','Синдикат','Победа','2:0
Обычный','Синдикат','KaidzenMonada','Нильфгаард','Победа','2:0
Обычный','Синдикат','Sparta_lives','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','화력전사뽕뽕이','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Maximilian_I','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','Senv66','Синдикат','Победа','2:0
Обычный','Синдикат','CKOM0P0X','Нильфгаард','Победа','2:1
Обычный','Синдикат','YUGi_GWENT','Нильфгаард','Поражение','1:2
Обычный','Синдикат','middleagecrisisJRL','Нильфгаард','Поражение','1:2
Обычный','Синдикат','Unterebner','Синдикат','Победа','2:1
Обычный','Синдикат','afokus1999','Нильфгаард','Победа','2:0
Обычный','Синдикат','Mgugga','Скоя’таэли','Победа','2:1
Обычный','Синдикат','Sherrl','Синдикат','Поражение','1:2
Обычный','Синдикат','Ce54Ry','Скоя’таэли','Поражение','0:2
Обычный','Синдикат','Pomodorato','Синдикат','Поражение','1:2
Обычный','Синдикат','Max931','Нильфгаард','Победа','2:1
Обычный','Синдикат','GorillaEl','Скоя’таэли','Поражение','1:2
